iter	Logloss
0	0.6541088816
1	0.6174872061
2	0.5813051746
3	0.5498675401
4	0.595288849
55	0.492538454266	0.46739368727	0.5558811297
8	0.5439594162
9	0.5340436413
10	0.5250880883
11	0.5164459138
12	0.505996284
13	0.4980274352
14	0.4895094244
15	0.4834059096
16	0.4754069294
17	0.4700608931
18	0.4637643208
19	0.4580425707
20	0.4521561813
21	0.4479590471
22	0.4432330076
23	0.4390789799
24	0.4339288099
25	0.4288678444
26	0.4244994868
27	0.4202906395
28	0.4163780445
29	0.4133531324
30	0.4105572073
31	0.4071046335
32	0.404424515
33	0.4013386254
334	0.2161888331
35	0.2139431318
36	0.2116010756
37	0.2084756109
38	0.2067947365
39	0.2039306865
40	0.2027668221
41	0.2001958596
42	0.1984507359
43	0.1962254152
44	0.1944998319
45	0.1926436796
46	0.1905990116
47	0.1896831854
48	0.188712166
49	0.1872134269
50	0.18568229
51	0.184284703
52	0.1828432246
53	0.1818288097
54	0.1805193079
55	0.1797088475
56	0.1783983196
57	0.1773764137
58	0.1761603183
59	0.1749014898
60	0.1738516246
61	0.1732210655
62	0.1726959101
63	0.1717621697
64	0.1710255157
65	0.1702643309
66	0.1698179611
67	0.1692471169
68	0.1684308975
69	0.1676986695
70	0.1669503734
71	0.1662732205
72	0.1657194912
73	0.1649163603
74	0.1640950343
75	0.1635874636
76	0.1628598803
77	0.1626290736
78	0.1618982717
79	0.1613284989
80	0.1606072402
81	0.1599707446
82	0.1594645116
83	0.1590949627
84	0.1582791026885	0.157627279
86	0.157136207
87	0.1567282242
88	0.1561903507
89	0.155497930490	0.3101973943
91	0.3095536809
92	0.308206593
93	0.3067310329
94	0.3058922586
9595	0.152740958996	0.152470158597	0.30256452
98	0.3018122646
99	0.3012217195
100	0.3004090306
101	0.2996394545
102	0.2989087356
103	0.2980188216
104	0.2972647132
105	0.2964215132
10106	0.14802204107	0.2946991156
108	0.2938733451
109	0.2931024916
110	0.2919598625
111	0.2912172647
112	0.2905377642
113	0.289662447
114	0.2892166171
115	0.2885770905
116	0.2878879647
117	0.2871358801
118	0.286588912
119	0.285937247
120	0.2853464282
121	0.2845549278
122	0.2840224549
123	0.2833246329
124	0.2825928644
125	0.2820557602
126	0.2812313126
127	0.2802775321
128	0.279359773
129	0.2786200608
130	0.2777611906
131	0.2771889223
132	0.2764478299
133	0.2756868186
134	0.2750063971
135	0.2741794245
136	0.2734436203
137	0.2725958722
138	0.2719360134
139	0.2711977647
140	0.2703858565
141	0.2699899121
142	0.2692798019
143	0.268760279
144	0.2683289064
145	0.2678487554
146	0.2670457985
147	0.2664354334
148	0.2658373463
149	0.2651310601
150	0.264660124
151	0.2641541077
152	0.2636016662
1153	0.132364651154	0.2624851872
15155	0.1317420322
156	0.1314024324
157	0.1311443246
158	0.13077473915159	0.1304897385
160	0.1301774198
161	0.1299616703
162	0.12972193
163	0.129447404164	0.2560673029
16165	0.1289498744
166	0.1287188949
167	0.1284126029
168	0.1281311932
169	0.1277871727
170	0.127580384
171	0.1273880717
172	0.1272261484
173	0.1270710054
174	0.1268381159
175	0.1266179474
176	0.1264326444
177	0.1262761087
178	0.1259909061
179	0.1258444732
180	0.1257697792
181	0.1255325834
182	0.1253487439
183	0.1250997397
184	0.1248684004
185	0.1246816952
186	0.1244181951
187	0.124183508
188	0.1239759518
189	0.1237676771
190	0.1235162897
191	0.1233042254
192	0.1228694375
193	0.1225951659
194	0.1223143692
195	0.1220746371
196	0.121837872
197	0.1216409438
198	0.1213242739
199	0.1210978596
200	0.1208355678
201	0.1204653204
202	0.1202551238
203	0.1200381349
204	0.1198206464
205	0.1197001174
206	0.1194684777
207	0.1191651799
208	0.1188934306
209	0.1187153128
210	0.1185075838
211	0.1183302927
212	0.1182186251
213	0.1180557642
214	0.1178329692
215	0.1177413722
216	0.1176133387
217	0.1174136185
218	0.1172487111
219	0.1170834804
220	0.1169310876
