iter	Passed	Remaining
0	261	130394
1	433	108010
2	569	94293
3	695	86206
4	830	82208
5	993	81827
6	1095	77137
7	1215	74746
8	1362	74325
9	1430	70108
10	1600	71160
11	1768	71921
12	1900	71179
13	1999	69409
14	2048	66232
15	2117	64067
16	2239	63617
17	2306	61760
18	2444	61884
19	2553	61286
20	2626	59897
21	2684	58324
22	2820	58494
23	2936	58244
24	3022	57431
25	3122	56922
26	3135	54928
27	3246	54733
28	3335	54169
29	3419	53568
30	3438	52021
31	3515	51416
32	333	3489	4733	3652	50064
34	3721	49443
35	3783	48763
36	337	377437	37	338	384838	427939	392039	438240	402340	447041	411141	459642	429542	42	443	434443	43	444	442444	5011	50668
45	507546	4788	46155
47	484247	5296	49878
48	5387	49591
49	5469	49221
50	5590	49222
51	5674	48890
52	5765	48629
53	5794	47860
54	5971	48313
55	6024	47763
56	6143	47746
57	6300	48011
58	6355	47505
59	6425	47119
	42677
61	6011	42469
62	6100	42317
63	6182	42120
64	6255	41865
65	6330	41627
66	6388	41288
67	6451	40986
68	6568	41032
2583
69	6902	42403
70	7007	42338
71	7053	41928
72	7133	41728
73	7180	41336
74	7218	40905
75	7267	40544
76	7316	40194
748
78	6263	33380
79	6303	33091
80	6351	32854
81	6392	32584
82	6430	32305
83	6512	32254
84	6568	32067
85	6633	31932
86	6683	31726
87	6714	31436
88	6744	31144
89	6777	30873
90	6823	30666
91	6872	30478
92	6927	30316
93	6955	30043
94	6985	29780
95	7021	29547
96	7045	29270
97	7080	29043
98	7113	28811
99	7167	28668
100	7219	28522
101	7271	28372
102	7313	28187
103	7366	28049
104	7396	27824
105	7426	27603
106	7443	27340
107	7463	27089
108	7498	26899
109	7515	26645
110	7545	26442
