Year,China,India,Singapore
1980,89.80000305,69.5,70.19999695
1981,89.90000153,69.5,71.09999847
1982,90,69.59999847,71.69999695
1983,90.30000305,69.69999695,72.30000305
1984,90.59999847,69.80000305,73.09999847
1985,90.90000153,69.90000153,72.90000153
1986,91.19999695,70,74.40000153
1987,91.5,70.19999695,75.40000153
1988,91.80000305,70.30000305,76
1989,92.09999847,70.40000153,76.90000153
1990,92.40000153,70.59999847,77.40000153
1991,92.5,70.69999695,78.19999695
1992,92.59999847,70.90000153,78.90000153
1993,92.80000305,71,78.69999695
1994,92.90000153,71.19999695,79
1995,93,71.09999847,78
1996,93,70.90000153,80
1997,93.09999847,70.80000305,79.80000305
1998,93.09999847,70.59999847,80.30000305
1999,93,70.5,80.5
2000,93,70.30000305,80.69999695
2001,93,70.30000305,81.09999847
2002,93,70.19999695,81.5
2003,92.90000153,70.19999695,81.90000153
2004,92.90000153,70.09999847,82.30000305
2005,92.90000153,70.30000305,82.69999695
2006,93,70.5,83.19999695
2007,93.09999847,70.09999847,83.5
